title,description
Academic Head,"Accounting Assistant Responsibilities: Providing support to the Accounting Department. Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc. Handling communications with clients and vendors via phone, email, and in-person.May 16, 2019"
Access Coordinator,"Account Executives work in many fields and help grow their companies by finding leads, closing sales, supporting existing clients, formulating sales strategies, and communicating product value to clients. They may also be known as Account Handlers.May 16, 2019"
Accessory Designer,"Administrative executives are the primary gatekeepers of the executive offices. They are responsible for the daily administrative activities of the executive offices. Such responsibilities include juggling phone calls, handling mail and offering administrative advice when needed.Dec 31, 2018"
Accountant,"Administrative Manager Responsibilities: Supervising day-to-day operations of the administrative department and staff members. ... Developing, reviewing, and improving administrative systems, policies, and procedures. Ensuring office is stocked with necessary supplies and all equipment is working and properly maintained.May 16, 2019"
Accountant & Administration,"Accounts Administrator responsibilities include reviewing and reconciling accounts, processing payments to external partners and maintaining updated records of invoices and receipts. To be successful in this role, you should have a Finance or Accounting background and be familiar with bookkeeping."
Accountant & Auditor,Audit assistants are entry-level auditing professionals who perform basic auditing tasks under the guidance of senior auditor. This position is often held by recent graduates or professionals new to the field of auditing. They monitor and analyze the financial reports of a company.
Accountant & Cashier,Top Audit Executive oversees all aspects of an organization's auditing function. Plans and directs all accounting and financial data. Being a Top Audit Executive designs internal auditing procedures and ensures they are followed. Monitors procedures for effectiveness and provides recommendations for improvement.
Accountant & Computer Operator,"Key Responsibilities Executives analyze financial reports and ledgers to innovate strategies that could edge the company over competitors. They'll order internal and external audits to double check that all regulations are running in compliance to industry regulations.Nov 1, 2016"
Accountant & Manager,"Accounting Manager Responsibilities Include: Managing and overseeing the daily operations of the accounting department. Monitoring and analyzing accounting data and produce financial reports or statements. Establishing and enforcing proper accounting methods, policies and principles."
Accountant & Office Assistant,"Accounting Assistant Responsibilities: Providing support to the Accounting Department. Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc. Handling communications with clients and vendors via phone, email, and in-person.May 16, 2019"
Accountant Executive,"Accounting Assistant Responsibilities: Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc. Handling communications with clients and vendors via phone, email, and in-person. Processing transactions, issuing checks, and updating ledgers, budgets, etc.May 16, 2019"
Accounts & Administration Executive,"Accounts assistant job descriptionWorking with spreadsheets, sales and purchase ledgers and journals.Preparing statutory accounts.Calculating and checking to make sure payments, amounts and records are correct.Sorting out incoming and outgoing daily post and answering any queries.Managing petty cash transactions.More items..."
Accounts & Administration Manager,"Career Requirements The key skills that a computer operator will need are time management, operation and control, critical thinking, complex problem solving, active listening, monitoring, reading comprehension, and operation monitoring."
Accounts & Administration Officer,"Accounting Assistant Responsibilities: Providing support to the Accounting Department. Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc. Handling communications with clients and vendors via phone, email, and in-person.May 16, 2019"
Accounts & Audit Assistant,"Accounting Clerk Job Description. Accounting Clerks assist the Accounting Department with many of its administrative and clerical duties. They perform basic office tasks, assist with bookkeeping and reporting, and research and resolve discrepancies.May 16, 2019"
Accounts & Audit Executive,Account Director Responsibilities Include: Planning budgets and activities for account management in the company. Setting up goals and objectives for all subordinate staff. Providing feedback and counsel to account staff to meet quotas/objectives.
Accounts & Finance Executive,"Account Executives work in many fields and help grow their companies by finding leads, closing sales, supporting existing clients, formulating sales strategies, and communicating product value to clients. They may also be known as Account Handlers.May 16, 2019"
Accounts & Finance Manager,"Accounting Manager Responsibilities Include: Managing and overseeing the daily operations of the accounting department. Monitoring and analyzing accounting data and produce financial reports or statements. Establishing and enforcing proper accounting methods, policies and principles."
Accounts & Office Assistant,"Account management responsibilities include developing strong relationships with customers, connecting with key business executives and stakeholders and preparing sales reports. Account Managers also answer client queries and identify new business opportunities among existing customers."
Accounts Assistant,"Accounting Manager Responsibilities Managing and overseeing the daily operations of the accounting department. Monitoring and analyzing accounting data and produce financial reports or statements. Establishing and enforcing proper accounting methods, policies and principles."
Accounts Assistant & Cashier,"You will be responsible for developing long-term relationships with customers and overseeing sales. As a Sales account manager, you should work to satisfy customers' needs and requests, respond to their queries in a timely manner and aspire to deliver a positive customer experience."
Accounts Assistant & Computer Operator,"Job Description An accounts officer manages the financial bookkeeping of a business or organization. Each day, an accounts officer processes invoices, records payments, and track expenses of the organization. In some cases, an accounts officer supervises other staff members who assist with the bookkeeping duties.Jun 27, 2018"
Accounts Associate,Account Supervisor Responsibilities include: Manage account team and provide feedback. Maintain long-term and profitable customer relationships. Execute and supervise clients' marketing and communications plans.
Accounts Clerk,"Teachers create lesson plans and teach those plans to the entire class, individually to students or in small groups, track student progress and present the information to parents, create tests, create and reinforce classroom rules, work with school administration prepare students for standardized tests, and manage ...Feb 19, 2013"
Accounts Director,"Audit Trainee Responsibilities As an audit trainee, an employee has to follow the several formalities and process associated with auditing company accounts. Basically, he or she has to check client's financial statements to ensure the proper accounting of all the expenditure and receipts."
Accounts Executive,"As an acquisitions manager, you'll negotiate, seek out, finalize, and organize purchasing deals for your employer. In many cases, acquisitions are grouped with mergers and your main job function will be acquiring other companies and merging them into your company."
Accounts Head,"A team leader is responsible for guiding a group of employees as they complete a project. They are responsible for developing and implementing a timeline their team will use to reach its end goal. Some of the ways team leaders ensure they reach their goals is by delegating tasks to their members, including themselves."
Accounts Incharge,"The Role of the BRAND ACTIVATION SPECIALIST The Brand Activation Specialist builds content (text, pictures, info graphics, videos) and engaging experiences that will evangelize new and existing customers on BOARD MEETING's product offerings and brand."
Accounts Manager,"ActorInterpret serious or comic role by speech, gesture, and body movement to entertain or inform audience for stage, motion picture, television, radio, or other media production.Rehearse and memorize lines.Entertain, convey characters and express emotions in front of a live audience.Take cues from director.More items..."
Accounts Manager Sales,"In larger organizations, the general manager reports to a corporate executive, often the chief executive officer or chief operations officer."
Accounts Officer,"Account Executives work in many fields and help grow their companies by finding leads, closing sales, supporting existing clients, formulating sales strategies, and communicating product value to clients. They may also be known as Account Handlers.May 16, 2019"
Accounts Supervisor,"You will act as the first point of contact for HR-related queries from employees and external partners. Your main administrative duties include maintaining personnel records, managing HR documents (e.g. employment records and onboarding guides) and updating internal databases."
Accounts Teacher,"Administrative Assistant Responsibilities: Handling office tasks, such as filing, generating reports and presentations, setting up for meetings, and reordering supplies. ... Using computers to generate reports, transcribe minutes from meetings, create presentations, and conduct research. Greet and assist visitors.May 16, 2019"
Accounts Trainee,"Responsibilities. Administrative associates are typically responsible for handling the office budget and expenses, keeping office records updated, and administering company policies.Dec 27, 2018"
Acquisition Manager,Administrative Coordinator Job Responsibilities and Duties: Handles purchasing and maintenance of all general office supplies. Manages the company schedule and calendar and arranges travel. Screens and handles telephone communications and greets visitors to maintain a professional image.
Acting Team Leader,"Administrative executives are the primary gatekeepers of the executive offices. They are responsible for the daily administrative activities of the executive offices. Such responsibilities include juggling phone calls, handling mail and offering administrative advice when needed.Dec 31, 2018"
Activation Officer,"Administrative Manager Responsibilities: Supervising day-to-day operations of the administrative department and staff members. Hiring, training, and evaluating employees, taking corrective action when necessary. Developing, reviewing, and improving administrative systems, policies, and procedures.May 16, 2019"
Actress,"Administrative Manager Responsibilities: Supervising day-to-day operations of the administrative department and staff members. ... Developing, reviewing, and improving administrative systems, policies, and procedures. Ensuring office is stocked with necessary supplies and all equipment is working and properly maintained.May 16, 2019"
Additional General Manager,"Administrative Manager Responsibilities: Supervising day-to-day operations of the administrative department and staff members. Hiring, training, and evaluating employees, taking corrective action when necessary. Developing, reviewing, and improving administrative systems, policies, and procedures.May 16, 2019"
Administration & Accounts Executive,Include: Setting goals for performance and deadlines in ways that comply with company's plans and vision. Organizing workflow and ensuring that employees understand their duties or delegated tasks. Monitoring employee productivity and providing constructive feedback and coaching.
Administration & Human Resources Executive,"Admin assistants perform clerical duties in nearly every industry. ... Most administrative assistant duties revolve around managing and distributing information within an office. This generally includes answering phones, taking memos and maintaining files."
Administration Assistant,"A successful Administrative Officer will act as the point of contact for all employees, providing administrative support and managing their queries. Main duties include managing office stock, preparing regular reports (e.g. expenses and office budgets) and organizing company records."
Administration Associate,"In summary, the Secretary is responsible for: Ensuring meetings are effectively organised and minuted. Maintaining effective records and administration. Upholding the legal requirements of governing documents, charity law, company law etc (where relevant)."
Administration Coordinator,"Most administrative assistant duties revolve around managing and distributing information within an office. This generally includes answering phones, taking memos and maintaining files. Administrative assistants may also be in charge of sending and receiving correspondence, as well as greeting clients and customers."
Administration Executive,"Advertising Executives supervise the production of ad campaigns, and develop plans to increase sales for their clients' businesses. Advertising Executives are the liaison between their agency and its clients. While they don't actually write, they may be responsible for deciding the core message of a campaign."
Administration Head,"The advisor assists the leader/organization in formulating long-range goals and in planning and initiating short term projects. The advisor is a resource person, and evaluates projects, performance and progress. The advisor offers guidance by reviewing goals, objectives, and the progress of the organization."
Administration Incharge,"The projects you are involved in and the tasks you are given depend on the area you are working on, but general responsibilities include: conducting research, surveys and interviews to gain understanding of the business. analysing statistics. detecting issues and investigating ways to resolve them."
Administration Manager,Patient Advocate Job Duties: Resolves complaints by listening to patients and their families; directing them to a physician or supervisor; helping them present facts to the hospital representative; developing acceptable resolutions; following-up on outcomes.
Administration Supervisor,"A legal consultant can advise people, businesses or organizations with their legal obligations or problems. They provide legal advice by thoroughly investigating your matters. ... A legal consultant offers any relevant legal advice to their clients and ensures that their clients are in right standing with the law.Aug 14, 2017"
Administrative Assistant,"Legal Consultants They provide legal advice by thoroughly investigating your matters. They draft up legal documents that are necessary for the person or organization. A legal consultant offers any relevant legal advice to their clients and ensures that their clients are in right standing with the law.Aug 14, 2017"
Administrative Officer,"A tax consultant typically expands on the role of tax preparer. While tax consultants prepare tax returns, they also often work closely with clients throughout the year to ensure client tax liability is minimized. Don't assume that hiring a tax consultant is only for the rich.Nov 8, 2018"
Administrative Secretary,Legal Assistant Job Duties: Helps develop cases by maintaining contact with people involved in the case; scheduling depositions; preparing and forwarding summonses and subpoenas; drafting complaints; preparing and filing discovery requests; preparing responses to opposing counsel; generating status reports.
Administrator,Legal Assistant Job Duties: Keeps cases organized by establishing and organizing files; monitoring calendars; meeting deadlines; documenting actions; inputting information into file database and case management software; confirming case status with attorney.
Advertisement Executive,"Lawyer Duties & Responsibilities Interview new clients and meet with existing clients to render legal advice. Perform legal research to determine how the facts of a case interact with current law. ... Draft legal documents including pleadings, discovery, motions, briefs, contracts, and wills."
Advisor,"Lawyers typically do the following: Advise and represent clients in courts, before government agencies, and in private legal matters. ... Interpret laws, rulings, and regulations for individuals and businesses. Present facts in writing and verbally to their clients or others and argue on their behalf."
Advisory Consultant,"Advocacy in all its forms seeks to ensure that people, particularly those who are most vulnerable in society, are able to:Have their voice heard on issues that are important to them.Defend and safeguard their rights.Have their views and wishes genuinely considered when decisions are being made about their lives."
Advisory System Analyst,"The manager is responsible for overseeing and leading the work of a group of people in many instances. The manager is also responsible for planning and maintaining work systems, procedures, and policies that enable and encourage the optimum performance of its people and other resources within a business unit."
Advocate,"Insurance Agent Responsibilities Include: Developing marketing strategies and promote all types of new insurance contracts or suggest additions/changes to existing ones. Breeding productive relationships to create a pool of prospective clients from various sources by networking, cold calling, using referrals etc."
Advocate & Consultant,The job duties of an Auto Service Advisor may include: Greeting customers and scheduling service appointments. Cataloguing customers concerns and comments. Writing service orders and descriptions of problems and repairs.
Advocate & Legal Consultant,"Eligibility CriteriaMastery in spoken English and other foreign languages as required.18 - 26 years of age.10+2 with degree in hospitality, or other graduate degree.Height of min 157.5 centimetres,Weight proportionate to the height.Eligible for an Indian Passport.Unmarried.Perfect eyesight.Good health.More items..."
Advocate & Tax Consultant,"Airline ticketing officers handle ticket sales for airlines at airports. They are often the first person to greet a customer who enters the airport. Ticketing agents are expected to be clean and neat in appearance in accordance with airline standards.Dec 15, 2009"
Advocate Assistant,"Maintenance engineers are responsible for maintaining and repairing the heavy machinery, plant equipment, tools and systems used in manufacturing, engineering and other industrial production processes."
Advocate Associate,Required Education: FAA training or military e...
Advocate Lawyer,"Aircraft Technician Job Description. An Aircraft Technician is responsible for the daily aircrafts maintenance. They verify the aircraft conformity and the state of its engine or cockpit pieces. They maintain the aircraft, repair the reported defects and ensure the plane service so it can leave in confidence."
Advocate Legal Advisor,"The airport manager oversees all other employees and departments and manages the day-to-day operations as well as future airport planning. They may deal with many different issues, but they are primarily responsible for airport safety, regulations, and budget planning."
Advocate Trainee,"AIRPORT REPRESENTATIVE DUTIES AND RESPONSIBILITIES: Handling guest arrival with pick up request, and arrange the transportation. Assist with guest luggage as and when required. ... Be present at all scheduled flight landings and assist incoming guests with baggage clearance and directing them to transport facilities."
Agency Manager,"Job duties might vary by an anesthesia technician's skill level, as well as the state and type of facility in which he or she is employed. In general, anesthesia technicians clean, sterilize, test, calibrate and troubleshoot anesthesia equipment, as well as keeping records of equipment inspections."
Agent,"Design engineers research and develop ideas for new products and the systems used to make them. They also work to improve the performance and efficiency of existing products. Hence, design engineers are good at problem-solving and generating new ideas, this job could suit you well.Sep 14, 2017"
Agent & Advisor,"Layout engineers research, plan, and oversee circuit layout and production. They use their knowledge of electronic and mechanical systems to convert schematics into full custom layouts of analog, digital, and mixed-signal designs.Aug 23, 2018"
Air Hostess,"Business analysts (BAs) are responsible for bridging the gap between IT and the business using data analytics to assess processes, determine requirements and deliver data-driven recommendations and reports to executives and stakeholders.Apr 17, 2019"
Air Ticketing Executive,Analyst Programmer duties and responsibilities Program the computer by encoding project requirements in computer language; entering coded information into the computer. ... Develops and maintains applications and databases by evaluating client needs; analyzing requirements; developing software systems.
Aircraft Maintenance Engineer,"Analyst Programmer duties and responsibilities Design, develop, document, analyze, create, test and modify computer systems, programs and integrations. ... Develops and maintains applications and databases by evaluating client needs; analyzing requirements; developing software systems."
Aircraft Maintenance Technician,"2) Analyze organic and inorganic compounds to determine chemical and physical properties, composition, structure, relationships, and reactions, utilizing chromatography, spectroscopy, and spectrophotometry techniques. 3) Develop, improve, and customize products, equipment, formulas, processes, and analytical methods."
Aircraft Technician,"As a news anchor, you will work closely with reporters and will be responsible for gathering information, broadcasting newscasts throughout the day and interviewing guests. Ultimately, you should be able to follow current events and present news stories to audiences in an informative,interesting and unbiased way."
Airport Manager,"A news anchor, sometimes called a news analyst, presents stories on radio and television news broadcasts. Working for television and radio networks and local stations, they introduce reporters' videotaped and live reports, analyze and select stories, and interview guests."
Airport Representative,"Animator Job Description. Animators use computers and other techniques to create moving images that tell stories or provide information. They work with clients and production team members to establish project goals, create storyboards, and design and refine animations.May 16, 2019"
Anaesthesia Technician,The work is a cross between graphic design and video editing and involves creating graphics and animations for media companies and advertisers. They may oversee other animators and work closely with art directors to ensure the animators working on a project are all working toward the same goal.
Analog Design Engineer,"Animators produce images that appear to come to life on screen. Their work is found in feature films, commercials, pop videos, computer games, websites and other media. They may work with drawings, specialist software or models and puppets, capturing separate images of each stage of a movement.Nov 8, 2015"
Analog Layout Engineer,"Announcers perform a variety of tasks including presenting news, sports, weather, traffic, and music. Other duties include interviewing guests, making public appearances at promotional events, announcing station programming information."
Analyst,"Everyone makes design decisions every day, and a designer's role is to make those decisions as easy as possible. ... A designers first job is to put the systems and guidelines in place so that your team can focus on questions of real value.Aug 17, 2018"
Analyst Developer,"Support Analyst Job Description. Support analysts provide user support to resolve issues with computer programs, hardware, and peripherals. In this role, support analysts may focus on a specific aspect of the IT department, such as applications, or they may provide general technical support to end users."
Analyst Programmer,"Software Architect Job Description. Software Architects design and develop software systems and applications. They may create software tailored to a clients' specific needs or create products geared for consumers, such as games or desktop applications."
Analytical Chemist,Other Requirements: Work experience
Anchor,Related searchTypes of jobs in techView 2+ moreView 2+Database AdministratorComputer programmingData scienceInformation technologyInformation securityInformation technology managementComputer network
Anchor & Reporter,Related searchJob roles listView 3+ moreView 3+Systems engineeringDatabase AdministratorWeb designerComputer SoftwareBusinessData scienceInternet Marketing
Animater,"Software Testers are responsible for the quality of software development and deployment. They are involved in performing automated and manual tests to ensure the software created by developers is fit for purpose. Some of the duties include analysis of software, and systems, mitigate risk and prevent software issues."
Animator & Graphic Designer,Related searchesTrainee job descriptionMechanic job descriptionBricklayer job descriptionLocksmith job descriptionGraduate job descriptionHelper job descriptionSecretary job description
Animator Trainee,Related searchHigh tech job titlesDatabase AdministratorData scienceComputer SoftwareData analysis
Announcer,Related searchHigh tech job titlesDatabase AdministratorData scienceComputer SoftwareData analysis
Apparel Designer,"Architects work in the construction industry designing new buildings, restoring and conserving old buildings and developing new ways of using existing buildings. They are involved in construction projects from the earliest stages right through to completion. ... preparing and presenting design proposals to clients.Oct 12, 2012"
Application Analyst,"Some designers work for home furnishings stores, providing design services to help customers choose materials and furnishings. Some interior designers produce designs, plans, and drawings for construction and installation. This may include floor plans, electrical layouts, and plans needed for building permits."
Application Architect,"Urban design can be described as a mix of city planning, landscape design, and architecture. It involves planning and designing nearly every aspect of a city. ... Part of an urban designer's job is to make the cities and towns he's working on look and feel aesthetically pleasing."
Application Consultant,Related searchesView 10+ moreView 10+Civil engineering job desc...Structural engineer job desc...Automotive engineering job desc...Computer engineering job desc...Electronics engineer job desc...Marine engineering job desc...Environmental engineering job desc...
Application Developer,"Responsibilities include, but are not limited to: Lead / participate as a critical project team member in the development of construction documents. Engage in schematic-level design, programming, space planning, needs assessment, existing envelope analysis, and collaborative problem solving."
Application Development Engineer,The Architectural Designer is responsible for supporting the project team through planning and design of structures such as multifamily… well as coordinating consultants and project teams/deadlines.
Application Engineer,Related searchesIT Engineer job desc...Surveyor job descriptionIT director job descriptionSales Person job desc...
